stateabrev,radiocallsgn,trackname,trackartist,trackalbum,trackstyles,trackmp3filename,captureyear,capturemonth,captureday,capturehour,captureminute,capturesecond
WA,KEXP,Friends,Big Gigantic,Free Your Mind,Hip Hop,KEXP2021_10_25_T19_59_19.mp3,2021,10,25,19,59,19
WA,KEXP,holy calamafuck,Run The Jewels,holy calamafuck,,KEXP2021_10_26_T11_12_56.mp3,2021,10,26,11,12,56
WA,KEXP,The Joke,Brandi Carlile,The Joke,"Pop Rock,Rock & Roll,Country Rock,Country",KEXP2021_10_26_T12_19_42.mp3,2021,10,26,12,19,42
WA,KEXP,The Beachland Ballroom,IDLES,The Beachland Ballroom,,KEXP2021_10_26_T12_50_29.mp3,2021,10,26,12,50,29
WA,KEXP,Velouria,Pixies,Bossanova,Indie Rock,KEXP2021_10_27_T10_19_23.mp3,2021,10,27,10,19,23
WA,KEXP,Clean Air,Hand Habits,Fun House,,KEXP2021_10_27_T10_37_45.mp3,2021,10,27,10,37,45
WA,KEXP,Sunrise,Explosions In The Sky,Big Bend (An Original Soundtrack for Public Television),"Post Rock,Soundtrack",KEXP2021_10_27_T11_31_40.mp3,2021,10,27,11,31,40
WA,KEXP,Marching Bands of Manhattan,Death Cab for Cutie,Marching Bands of Manhattan,Indie Rock,KEXP2021_10_27_T12_05_38.mp3,2021,10,27,12,05,38
WA,KEXP,Nighttime Drive,Jay Som,Anak Ko,"Indie Rock,Lo-Fi,Indie Pop",KEXP2021_10_27_T12_28_13.mp3,2021,10,27,12,28,13
WA,KEXP,Come Around,Breeze,Only Up,"Post-Punk,Brit Pop,Alternative Rock,Dream Pop",KEXP2021_10_27_T12_31_57.mp3,2021,10,27,12,31,57
WA,KEXP,"Less Yes's, More No's",Busdriver,RoadKill Overcoat,Abstract,KEXP2021_10_27_T12_38_08.mp3,2021,10,27,12,38,08
WA,KEXP,Goodbye,The Sundays,Blind,Indie Rock,KEXP2021_11_03_T10_47_40.mp3,2021,11,03,10,47,40
WA,KEXP,Unbelievable,EMF,Le 100 Sexy Hit,"Alternative Rock,Ballad,Brit Pop,Hip Hop,House,Pop Rap,Pop Rock,RnB/Swing,Synth-pop,UK Garage",KEXP2021_11_03_T11_23_07.mp3,2021,11,03,11,23,07
WA,KEXP,The Rat,The Walkmen,Bows + Arrows,Indie Rock,KEXP2021_11_03_T11_52_22.mp3,2021,11,03,11,52,22
WA,KEXP,You Dropped A Bomb On Me,The Gap Band,Gap Gold - Best Of The Gap Band,Funk,KEXP2021_11_03_T14_51_08.mp3,2021,11,03,14,51,08
